明朝遗臣史可法等人拥立福王称帝南京，组织人马抗击清军。	Complex 2 4 遗臣
在发现镭之后的不断研究中，居里夫人也在不停地变化着。	Hard 3 4 镭
此时此刻，我耳边又回响着充满墨香的书声，快乐童真的歌声，尽情嬉闹的笑声，诲人不倦的心声……	Complex 36 40 诲人不倦
评审会按既定程序一项一项进行。	Complex 4 6 既定
它们依仗长尾巴出色的平衡功能，在树枝上玩着“走钢丝”和“倒立”的把戏；它俩相互推挤，好像竭力要把对方推下树去，可被推的一方总是抓住树枝，巧妙地跳开去，绝不会失足坠地……	Complex 80 82 坠地
大老望着弄渡船的老船夫涎皮的老脸，轻轻地说：	Hard 11 13 涎皮
窃国大盗袁世凯称帝，章太炎曾拟模仿明朝的方孝孺故事，身穿麻衣、手执方杖、痛哭于国门，以此哀悼共和的灭亡。	Hard 39 41 国门
第二，包身工都是新从乡下出来，而且她们大半都是老板娘的乡邻，这一点，在“管理”上是极有利的条件。	Complex 3 6 包身工
尤其是门前的山沟，长满了各种各样的树木，里边还有小松鼠、小兔子、小蚱蜢……	Complex 33 35 蚱蜢
就把我们的油水一古脑儿吞了去！	Complex 7 11 一古脑儿
这些红艳耀目的荷花，高高地凌驾于莲叶之上，迎风弄姿，似乎在睥睨一切。	Hard 29 31 睥睨
幽兰吐秀乔林下，仍自盘根众草傍。	Hard 0 4 幽兰吐秀
至如梁、柱、枋、標、门、窗、墙、瓦、植、阶、栏杆、隔扇、斗拱、正脊、垂脊、正吻、戗兽、正房、厢房、游廊、庭院、夹道等等。	Hard 40 42 戗兽
有一天，牛顿放学回家，看见村子旁边正在安装磨面的风车。	Complex 21 23 磨面
他摇了摇头，笑着说：“吃饭有我，挑粮也应该有我呀！”	Complex 16 18 挑粮
最后是美国总统讲话，他赞美她是一个“高尚的人，忠城的妻子，慈爱的母亲：除了那极艰巨的工作之外，她尽到了妇女的全部天职”。	Complex 56 58 天职
可是，谁也没有想到，突然寒潮降临，北风呼啸，湖面又上冻了。	Complex 19 21 呼啸
我应该感谢母亲，她教给我生产的知识和革命的意志，鼓励我以后走上革命的道路。	Complex 18 20 革命
客到时，果品酒馔只顾将来，不必要问。	Complex 6 12 酒馔只顾将来
最后我送给大家一个公式，来结束我的这场“狗皮膏药”式的演讲，这是美国心理学家荣格的一个公式，我非常赞赏，就是“ＩｐlusWEequalstoFullI“（I+WE=FullI）大家很强调要体现自我价值，体现自我价值，需要把自己溶在“Ｗｅ（我们）”这个大集体里面，最终完全体现自我价值。	Complex 20 24 狗皮膏药
“前进”号在再次进入大气层时会烧毁，这对我那可恶的、臭气熏天的破布来说，是个合适的结局。	Complex 26 30 臭气熏天
父亲愉快地告诉我，他去世后要捐赠所有完好的器官，尤其是眼睛角膜。	Hard 29 31 角膜
余光中说这一段把话说得这么白，是败笔，中学生的水平！	Complex 16 18 败笔
透明的冰山，沸腾的大海，汹涌澎湃的大江大河，丁丁冬冬的泉水，潺潺的溪流，平静的湖水，北国千里冰封，万里雪飘，南国溟溟薄雾，潆漾细雨，还有那挂在红花绿叶上珍珠般晶莹的晨露，蓝天上飘浮的白云，以及危害庄稼的冰雹，所有这一切，气态的、固态的、液态的水，都是水的不同形态。	Hard 56 60 溟溟薄雾
先生拿着戒尺，走到孙中山跟前，厉声问道:“你会背了？”	Hard 4 6 戒尺
又有夜岚数层斗起，如鱼肚白，穿入出炉银红中，金光煜煜不定。	Hard 2 4 夜岚
到了这个时候，诗的平仄逐渐有了定格。	Complex 15 17 定格
黄的，那是土，未开垦的处女土，几百万年前由伟大的自然力所堆积成功的黄土高原的外壳；绿的呢，是人类劳力战胜自然的成果，是麦田，和风吹送，翻起了一轮一轮的绿波——这时你会真心佩服昔人所造的两个字“麦浪”，若不是妙手偶得，便确是经过锤炼的语言的精华。	Complex 8 10 开垦
考察队员和村民们认真仔细地搜索、观察,在附近一共发现了七只成年朱鹮,他们立即投入到紧张的保护朱鹮的工作之中。	Hard 31 33 朱鹮
诸葛亮又下令把船掉过来，船头朝东，船尾朝西，仍旧擂鼓呐喊，逼近曹军水寨受箭。	Complex 33 35 水寨
选作课文时略有删改。	Complex 5 9 略有删改
至如梁、柱、枋、標、门、窗、墙、瓦、植、阶、栏杆、隔扇、斗拱、正脊、垂脊、正吻、戗兽、正房、厢房、游廊、庭院、夹道等等。	Hard 37 39 正吻
于是，“春风又绿江南岸”成为文学史上的名句，王安石千锤百炼炼字炼意，也成为文学史上的佳话。	Complex 29 33 炼字炼意
既已不平凡不单调了，又毋需乎创造。	Hard 11 13 毋需
第一年里，他们共同从事镭和钋的化学离析工作，并且研究他们所得到的活性产物的放射性。	Hard 13 14 钋
最后忍无可忍，终于在他卧室里人脏俱获，先把该书夺回，宣称内急，而他家的厕所是在大门口的，于是我就驾风而逃。	Complex 14 18 人脏俱获
对于这位敬爱的首长，杨光不但知道，还曾亲眼看见过。	Hard 7 9 首长
它被一个小鹅卵石挡住了路，它不是绕过了它，而是倒退着向上登，把它的捕获物跟着往上拽，在小鹅卵石的另一面翻滚了下去。	Complex 33 36 捕获物
还有一条南起紫竹院公园，北至畅春园（进北大校址）南门。	Complex 4 6 南起
又忙携黛玉之手，问：“妹妹几岁了？	Complex 2 3 携
把成功的三个条件拿来分析一下，天资是由“天”来决定的，我们无能为力。	Complex 29 33 无能为力
吉姆站在屋里的门口边，纹丝不动地好像猎犬嗅到了鹌鹑的气味似的。	Complex 23 25 鹌鹑
记得童年与家人在庭院纳凉，母亲总要背诵唐人“银烛秋光冷画屏，轻罗小扇扑流萤”的诗句，其情境真够令人销魂的了。	Hard 30 37 轻罗小扇扑流萤
李白诗曰：“东风已绿瀛洲草，紫殿红楼觉春好。”	Hard 14 21 紫殿红楼觉春好
他举起右臂，手雷在按照灯的光亮中闪闪发光。	Hard 6 8 手雷
船长站在舰桥上，小心翼翼地驾驶着他的“诺曼底”号。	Complex 8 12 小心翼翼
我看见婵娟被人虐待，我看见你挺身而出，指天画地有所争论。	Complex 3 5 婵娟
学会了怎样用潜水镜以后，你就可以背上氧气瓶穿上脚蹼，在小湖或江河里，一边蹬水悠闲地游来游去，一边观察水底。	Hard 23 25 脚蹼
但是如果它比临界值大，宇宙就会坍缩，而时间本身就会在大挤压处终结。	Hard 15 17 坍缩
场地原为粤中造船厂旧址。	Complex 4 6 粤中
我曾屡次发现，每当我感到前途茫茫而灰心丧气时，只要记起很久以前我在那座小悬崖上所学到的经验，我便能应付一切。	Complex 2 4 屡次
我们退到后面，一个辫子很光的却来领我们到了侧面，指出一个地位来。	Complex 9 11 辫子
一种生意盎然之美，一种随处生春之美，读久了就觉得生命很亮丽，很新鲜活泼有力。	Hard 11 15 随处生春
这一来毡靴损坏得可厉害啦，不光是底子，就连底子往上拐弯儿的地方，全都出现了裂纹。	Hard 3 5 毡靴
千佛山、大明湖和趵突泉，是济南的三大名胜，现在单讲趵突泉。	Hard 8 11 趵突泉
如果举办2008年奥运会的荣誉能够授予北京，我可以向你们保证，7年后的北京，一定会让你们为今天的决定而自豪。	Complex 51 53 自豪
两个新年虽照例可以看到军营里和各乡来的狮子龙灯，在小教场迎春，锣鼓喧阗大热闹，到了十五夜晚，城中舞龙耍狮子的镇筸兵士，还各自赤裸着肩膊，往各处去欢迎炮仗烟火。	Hard 54 56 镇筸
这以后，地面上就耸起灌木丛、树木、干草垛。	Complex 10 13 灌木丛
当时我已经处于半靠边的状态，傍晚我们在院子里乘凉，孩子们都劝我把包弟送走，我请我的大妹妹设法。	Complex 22 24 乘凉
比方说不题词；不为别人的书写序；不参加任何成果鉴定会；不出席应景活动(如开幕式、剪彩等)；不出国访问；甚至退出一线工作以后，不到外地开会，连天津也不去。	Hard 30 32 应景
德拉这样做了，可精神上的感慨油然而生，生活就是哭泣、抽噎和微笑，尤以抽噎占统治地位。	Hard 26 28 抽噎
荒丘的颜色酷似虎皮，当地人称虎皮岩。	Complex 5 7 酷似
谷底是奇花异草、亚热带雨林，山坡上生长着温带的常绿阔叶林，峡谷的高处则生长着松柏等寒带的针叶树。	Complex 3 7 奇花异草
汉语的声调和语音的高低、长短都有关系，而古人把四声分为平仄两类，区别平仄的标准似乎是长短，而不是高低。	Hard 27 29 平仄
他知道他终于给打败了，而且一点补救的办法也没有，于是他走回船梢，发现舵把的断成有缺口的一头还可以安在舵的榫头上，让他凑合着掌舵。	Hard 52 54 榫头
至如梁、柱、枋、標、门、窗、墙、瓦、植、阶、栏杆、隔扇、斗拱、正脊、垂脊、正吻、戗兽、正房、厢房、游廊、庭院、夹道等等。	Hard 6 7 枋
科学家创造这一奇迹，并不只是供游人观赏猎奇，更重要的是想通过这项研究，进一步揭示生命的奥秘。	Complex 19 21 猎奇
在最寒冷的日子里，有个年轻女子拖一具小棺材在街头踉跄，小棺材里躺着她冻馁而亡的孩子。	Hard 34 38 冻馁而亡
徽曰：“孔明与博陵崔州平、颍川石广元、汝南孟公威与徐元直四人为密友。	Hard 13 15 颍川
鼹鼠先生来到松鼠太太门前。	Hard 0 2 鼹鼠
1910年他加入同盟会，筹款资助孙中山先生领导的辛亥革命；抗日战争爆发，他担任南洋华侨总会主席，捐资抗日，不顾危险，亲身回国考察战事、慰劳将士。	Hard 24 28 辛亥革命
它没有婆娑的姿态，没有屈曲盘旋的虬枝，也许你要说它不美。	Hard 16 18 虬枝
穿上这身黑，就赛跟地上一桶白浆较上了劲。	Hard 6 8 就赛
整整一个晚上，江雪都在思考对策。	Complex 13 15 对策
这是因为地壳下沉，使原来靠岸的地方变成了海洋的中心。	Hard 4 6 地壳
他身子瑟缩了一下，感觉到鸡皮疙瘩在身上拱起，汗从额头跌了下来，胸口地方像一只小兔兜着，一下一下跳哩。	Complex 3 5 瑟缩
我获得的土地的价格很低，一公顷还不到两个卢布。	Hard 20 22 卢布
树上积满了白雪。	Complex 2 4 积满
撒切尔先生告诉他：为了防止再有人迷路，魔克托尔山洞的出口被封死了。	Complex 29 31 封死
中国婚姻方法的缺陷，才子佳人小说作家早就感到了，他于是使一个才子在壁上题诗，一个佳人便来和，由倾慕——现在就得称恋爱——而至于有“终身之约”。	Complex 65 69 终身之约
有时候，他引诱你到语言文字的穷边涯际，下面是深秘的静默：“此中有真意，欲辨已忘言。”	Hard 29 34 此中有真意
考察队员和村民们认真仔细地搜索、观察,在附近一共发现了七只成年朱鹮,他们立即投入到紧张的保护朱鹮的工作之中。	Hard 46 48 朱鹮
武松走了一程，酒力发作，热起来了，一只手提着哨棒，一只手把胸膛敞开，踉踉跄跄，奔过乱树林来。	Hard 22 24 哨棒
小女孩向画片伸出手去。	Hard 4 6 画片
“蜂儿如一朵小雾稳稳地停在半空；蚂蚁摇头晃脑捋着触须，猛然间想透了什么，转身疾行而去；瓢虫爬得不耐烦了，累了祈祷一回便支开翅膀，忽悠一下升空了；树干上留着一只蝉蜕，寂寞如一间空屋；露水在草叶上滚动，聚集，压弯了草叶轰然坠地摔开万道金光。”	Complex 24 26 触须
鲁提辖坐了主位，李忠对席，史进下首坐了。	Hard 10 12 对席
包扎所的担架不够了，好几个重彩号不能及时送后方医院，耽搁下来。	Hard 13 16 重彩号
到了河边，见那只新船正在装货，许多油篓子搁到河岸边。	Hard 17 20 油篓子
我想到了当年陪同梁思成勘探木塔的年轻学者莫宗江先生后来的回忆:他们爬到了塔顶，但塔刹还有十多米高，除了几根铁索外，没有任何可供攀援的东西。	Hard 40 42 塔刹
老都管见众军所说，自心里也要吃得些，竟来对杨志说：“那贩枣子客人已买了他一桶酒吃，只有这一桶，胡乱教他们头了避暑气。	Complex 27 28 贩
那笼子里的黑老鸹子，长出凤头儿来，也会说话呢！	Hard 5 9 黑老鸹子
嗉囊装满后，它用喙尖抓抓脚底，用沾着唾液的爪擦擦脸和眼睛，然后闭着双眼或者躺在沙上消化食物。	Hard 8 9 喙
不准流一滴血，也不准割得超过或是不足一磅的重量；要是你割下来的肉，比一磅略微轻一点或是重一点，即使相差只有一丝一毫，或者仅仅一根汗毛之微，就要把你抵命，你的财产全部充公。	Complex 82 84 充公
一女愿侍痼疾之夫，《醒世恒言》中还说终于一同自杀的；后来改作的却道是有蛇坠入药罐里，丈夫服后便全愈了。	Hard 4 6 痼疾
但到夜里，我热得醒来的时候，却仍然看见满床摆着一个“大”字，一条臂膊还搁在我的颈子上。	Complex 39 41 颈子
心脏是一名勤劳的鼓手，它以每分钟60—100次的节律发出“同、特、同、特”的声音。	Complex 5 7 勤劳
再进去；他果然躺在草窠里，肚里的五脏已经都给吃空了，手上还紧紧的捏着那只小篮呢。……	Hard 9 11 草窠
他们被挑选出来做角斗士，要被关进角斗士学校进行艰苦野蛮的训练，其目的是在竞技场上“表演”得更精彩，以使看台上的奴隶主们更高兴。	Hard 8 11 角斗士
而且并不使人气闷。	Complex 6 8 气闷
如果没有那些旧房子和路，没有扬起又落下的尘土，没有与我一同长大仍旧活在村里的人、牲畜，没有还在吹刮着的那一场一场的风，谁会证实以往的生活——即使有它们，一个人内心的生存谁又能见证？	Complex 40 42 牲畜
有一种人，读书虽然不多，但他对于人情事理，都很通达，凭借经验，运用心得，“官知止而神欲行，依乎天理，批大郤，导大窾”。	Hard 50 53 批大郤
因为她不明白这笑话有几分真，又不清楚这笑话是谁诌的。	Hard 23 24 诌
古今多少奇丈夫	Hard 4 7 奇丈夫
似乎是我惊醒了爸爸。	Complex 4 6 惊醒
窗子完全打开了，房间里还坐不牢。	Hard 12 15 坐不牢
既然你要求公道，我就给你公道，而且比你所要求的更地道。	Hard 5 7 公道
天上那层灰气已散，不甚憋闷了，可是阳光也更厉害了许多：没人敢抬头看太阳在哪里，只觉得到处都闪眼，空中，屋顶上，墙壁上，地上，都白亮亮的，白里透着点红；由上至下整个的象一面极大的火镜，每一条光都象火镜的焦点，晒得东西要发火。	Complex 11 13 憋闷
这时，一群鸭子“嘎嘎”叫着，“扑通扑通”跳下水。	Complex 8 10 嘎嘎
刘邓大军各部偃旗息鼓，星夜南下，一步步穿越大片淤泥埋没了屋顶的死亡地带——黄泛区。	Complex 11 15 星夜南下
就这样他们还是唱着激昂而热切的号子，那汹涌澎湃的江水号子。	Complex 9 11 激昂
漂载着野花，漂载着山草和林苔的清香，漂载着快乐，漂载着喜悦和云彩的影子，泉水在山箐里响起来了！	Hard 39 41 山箐
刘邓大军各部偃旗息鼓，星夜南下，一步步穿越大片淤泥埋没了屋顶的死亡地带——黄泛区。	Complex 37 40 黄泛区
新华社郑州1948年11月5日电，在人民解放军伟大的胜利的攻势下，南阳守敌王凌云于四日下午弃城南逃，我军当即占领南阳。	Complex 35 37 守敌
小地主还可以在鸟类里散布点舆论，不时讲讲它的年少经历，谈谈它遇到的人，虽说有时不太温柔，可是心眼还不坏。	Complex 13 15 舆论
这是一个亭子形方殿，殿顶把四道垂脊攒在一起，正中安放着一个大圆金宝顶，轮廓非常优美。	Hard 15 17 垂脊
巨大的漕船，舳舻相接，忙碌的船工从停泊在河边的粮船上卸下沉重的粮包，纤夫们拖着船，逆水行驶，一片繁忙景象。	Hard 3 5 漕船
当年小人书便宜。	Hard 2 5 小人书
有弗学，学之弗能弗措也；有弗问，问之弗知弗措也；有弗思，思之弗得弗措也；有弗辨，辨之弗明弗措也；有弗行，行之弗笃弗措也。	Hard 40 47 辨之弗明弗措也
次年四月，清兵包围了扬州。	Hard 5 7 清兵
我把两只猫都带到岸上；至于那条狗，它是在我第一次搬东西上岸的第二天自动跳下船，泅到岸上来找我的，后来作了我多年的忠仆。	Hard 39 40 泅
我不想难堪得无地自容，就尴尬地向姑娘讲明情况，要摘下手表做抵押。	Complex 29 31 抵押
店家去里面切出二斤熟牛肉，做一大盘子将来，放在武松面前，随即再筛一碗酒。	Complex 31 32 筛
我们这里没有现洋钱，只有钞票。	Complex 6 9 现洋钱
他表示相信，有全国人民作坚强后盾，香港特别行政区政府和香港同胞一定能够管理和建设好香港，保持香港长期繁荣稳定，创造香港美好的未来。	Complex 14 16 后盾
大熊猫如今分布地域十分狭窄，仅见于我国四川省的岷山、邛崃山和大小凉山，甘肃省的南缘和陕西省秦岭南麓等海拔2000～3500米的崇山峻岭。	Hard 47 49 南麓
比如一个部落或一个村庄有病毒或细菌，把这村里的人畜都害死了以后，这种病毒或细菌也就灭绝了。	Complex 23 25 人畜
这渴慕是从一个远房的叔祖惹起来的。	Hard 10 12 叔祖
赵王到了渑池，会见了秦王。	Hard 4 6 渑池
时云长在侧曰：“某闻管仲、乐毅乃春秋、战国名人，功盖寰宇；孔明自比此二人，毋乃太过？”	Hard 37 41 毋乃太过
为什么我们这些隐藏在宇宙中某个被遗忘角落里的人类就这样幸运呢？	Complex 7 9 隐藏
入夜，毛毛细雨比猫步还轻，跌进树叶里汇成敲响路面的点点滴滴，泄漏了秘密，很湿，也很诗。	Complex 20 22 敲响
中小户人家，忌讳较少，遇到产妇胎位不正，老娘束手，老娘就会建议：“去请陈小手吧。”	Hard 6 8 忌讳
生活不下去，就一死了之。	Complex 7 11 一死了之
我眺望四周，一片茫无边际的蔚蓝的海，无数波浪闪耀着金鳞；头上，也是这样茫无边际，这样蔚蓝的海——在那儿，温柔的太阳在运行着，宛然在微笑。	Hard 62 64 宛然
林冲和差拨两个在路上，又没买酒吃处，早来到草料场外。	Hard 3 5 差拨
恭喜您，是个男伢子，少爷！	Hard 7 9 伢子
冬天里四面透风，柳木疙瘩火当中架起，一出场一脸正经，一下场凑近火堆，热了前怀，凉了后背。	Hard 10 12 疙瘩
但她大概也即觉到了，说道：“像你似的小孩子，长毛也要掳的，掳去做小长毛。	Hard 26 27 掳
新年才过，她从河边掏米回来时，忽而失了色，说刚才远远地看见几个男人在对岸徘徊，很像夫家的堂伯，恐怕是正在寻她而来的。	Hard 44 46 堂伯
餐桌上饭菜丰盛极了，有烤羊肉串、清炖羊肉、曲曲，还有许多说不出名字的食品。	Hard 21 23 曲曲
可是“客怨，仆泣”，他们都被劝阻了。	Complex 14 16 劝阻
当我站在讲坛上向年轻人宣讲自己所崇奉的信念的时候，我会想起我的启蒙老师们。	Complex 31 33 启蒙
我对他起初并无信心，姑妄从之。	Complex 10 14 姑妄从之
比较早的有葡萄、苜蓿、茉莉、苹果、菠菜等等，近代的像咖啡、可可、柠檬、雪茄、巧克力、冰淇淋、白兰地、啤酒、卡片、沙发、扑克、哔叽、尼龙、法兰绒、道林纸、芭蕾舞等等，都是极常见的。	Hard 72 75 道林纸
那坟地荒草凄凄，古木幽幽。	Complex 10 12 幽幽
一次，在采蒲台，十几个干部和全村男女被敌人包围。	Complex 4 7 采蒲台
终于,四只活泼的小朱鹮钻出蛋壳,来到世界上。	Hard 9 11 朱鹮
阿依穆罕大娘还用糜米放在瓦罐里，做出了一种既像黄酒、又像啤酒、也像喀瓦斯、还像哈萨克夏牧场的酸马奶一样的叫做“泡孜”的饮料，喝上一口，酸、苦、甜、凉、热俱全，我也很喜欢。	Hard 8 10 糜米
这媳妇长得很好看，高高的鼻梁，弯弯的眉，额前一溜蓬松松的留海。	Hard 22 24 一溜
然后我建造了一个云室，在云室中可以看到亚原子粒子留下的踪迹。	Hard 8 10 云室
当时三人坐下，李逵便道：“酒把大碗来筛，不奈烦小盏价吃。”	Hard 18 19 筛
更羸仔细看了看，指着大雁对魏王说：“大王，我不用箭，只要拉一下弓，这只大雁就能掉下来。”	Hard 0 2 更羸
满园春色关不住	Hard 0 4 满园春色
这家伙厉害得很，飞时巨大的翅膀磨得嚓嚓地响。	Complex 17 19 嚓嚓
2008名乐手击缶，声又变成了光——组成让人心跳的数字，和着读秒时刻:“5——4——3——2——1！”	Hard 7 9 击缶
什么都有：稻鸡，角鸡，鹁鸪，蓝背……	Hard 11 13 鹁鸪
那树有一点皴皱，露出老态，但是坚固稳定，树顶像刚炸开的焰火一样繁密。	Hard 5 7 皴皱
它不同于：“美女妖且闲，采桑歧路间；柔条纷冉冉，落叶何翩翩。”	Hard 12 17 采桑歧路间
后来，人们就把在写诗和作文时斟酌文字叫做“推敲”。	Complex 21 23 推敲
它没有婆娑的姿态，没有屈曲盘旋的虬枝。	Hard 16 18 虬枝
它的成分并不和一般通用的意义一样，里面是较少的籼米、锅焦、碎米和较多的乡下人用来喂猪的豆腐渣！	Hard 23 25 籼米
要知道，不论哪种文明，都不是完美无缺的，都有精华和糟粕，所以对涌进来的异文化我们既要“理解”，又要有所“选择”。	Complex 25 27 糟粕
自去肉案上拣了十斤精肉，细细切做臊子。	Hard 16 18 臊子
麋鹿的尾巴是鹿科动物中最长的。	Hard 0 2 麋鹿
水上那一个不再说什么，手脚并用的拍着水傍了码头。	Hard 19 20 傍
这时候，从附近的丛林里飞来一只萤火虫，飘飘忽忽地，闪着幽幽的光。	Complex 19 23 飘飘忽忽
数亿年来，它们进行过亿万次的破坏性侵袭，把个严肃神圣、伟岸如铁的泥岩山体，弄得伤痕累累一片残缺。	Complex 17 19 侵袭
“男爵爱卿，”他厉声言道，“朕想卿也明白，‘陛下’这个称呼在全国范围内只属于孤家一人，再没有旁人称得起‘陛下’了！	Hard 8 10 厉声
她又为我唱起了幽默风趣的童谣，把我的思绪从天上引到人间：	Complex 7 11 幽默风趣
手术完成之后，用相同频率的电脉冲刺激换核卵，让苏格兰黑面羊的卵细胞质与芬多席特母羊乳腺细胞的核相互协调，使这个“组装”细胞在试管里经历受精卵那样的分裂、发育而形成胚胎的过程。	Hard 10 12 频率
新写的《国榷》共104卷，428万4千字，内容比原先的那部更加翔实、精彩，是一部不可多得的明史巨著。	Hard 4 6 国榷
勤读报，会读报，你就会和大千世界息息相通。	Complex 16 20 息息相通
焦渴的找水人，怀着虔诚和崇敬之情，流尽了最后一滴汗，耗完了最后一滴血，倒毙在沙漠里。	Complex 9 11 虔诚
例如《诗经·鲁颂》的《駉》这一首诗里提到马的名称就有16种：“驈”(身子黑而胯下白的)，“皇”(黄白相间的)，“骊”(纯黑色的)，“黄”(黄而杂红的)，“骓”(青白杂的)，“駓”(黄白杂的)，“騂”(红黄色的)，“骐”(青黑成纹像棋道的)，“驒”(青黑色而有斑像鱼鳞的)，“骆”(白马黑鬃)，“駵”(红马黑鬃)，“雒”(黑马白鬃)，“駰”(灰色有杂毛的)，“騢”(红白杂毛的)，“驔”(小腿长白毛的)，“鱼”(两眼旁边毛色白的)。	Hard 179 180 騢
他可不是那种小心眼儿的人。	Complex 6 10 小心眼儿
当时我已经处于半靠边的状态，傍晚我们在院子里乘凉，孩子们都劝我把包弟送走，我请我的大妹妹设法。	Hard 8 10 靠边
一个肩膀宽宽的小伙，肩上垫了一块老蓝布，扛了几枝青竹，竹梢长长的拖在他后面，刮打得石级哗哗作响。……	Complex 43 47 哗哗作响
本着这个精神，他随处留心玩索，无论是阅读或写作，就会逐渐养成创作和欣赏都必需的好习惯。	Hard 12 14 玩索
现在是早已并屋子一起卖给朱文公的子孙了，连那最末次的相见也已经隔了七八年，其中似乎确凿只有一些野草；但那时却是我的乐园。	Hard 5 6 并
秦俑的制作充分体现了中国古代发达的科学技术，令许多国外的科学史家惊叹不已。	Hard 0 2 秦俑
嗉囊装满后，它用喙尖抓抓脚底，用沾着唾液的爪擦擦脸和眼睛，然后闭着双眼或者躺在沙上消化食物。	Hard 0 2 嗉囊
自从古人写了一句“桂林山水甲天下”的诗，多有把它当做品评山水的论断。	Hard 13 16 甲天下
因为它长得粗壮结实，样子也不大好看，还特别在前面加一个“侉”字，叫做“侉叫蛐子”。	Hard 28 29 侉
我手里拿着戒尺站住等他。	Hard 5 7 戒尺
据说，许多年代以前，威尼斯还是一片荒芜的海滩，马可到意大利各地传教，乘船经过里阿托岛海岸，当时风暴骤起，把船刮到荒凉的沼泽地带搁浅了。	Hard 31 33 传教
这时的旅鼠不再胆小怕事，见人就跑，而是恰恰相反，在任何天敌面前它们都显得勇敢异常，无所畏惧，具有明显的挑衅性，有时甚至会主动进攻，真有点天不怕地不怕的样子。	Complex 51 53 挑衅
“大婶子，别撕了，放到这时候的白菜，老帮子脱了五六层，成了核了。”	Hard 18 21 老帮子
情况是危急的，伯瑙德夫人知道，蜡烛燃到金属管处就会自动熄灭，情报就会泄露，同时也意味着他们一家三口的生命将告结束。	Hard 7 10 伯瑙德
春风无迹可寻，但春风一至，江南倏忽绿了，那么突然，又那么自然。	Hard 15 17 倏忽
爸爸竟然也说不出它是什么树，一会儿说是“桧树”，一会又说恐怕是“槭树”，都是奇怪的名称；他只说他小时候就经常来爬它，他们那群小孩子管它叫“大不列颠”，真是莫名其妙。	Hard 32 34 槭树
鲁智深和杨志从此当了山寨寨主。	Complex 0 3 鲁智深
在举行仪式的前一晚，麦隆内夫人把赠予文件给她申阅，她很小心地读完，然后从容地说：	Complex 16 18 赠予
现在，人们用“舍本逐末”来比喻做事不抓住主要问题，而专顺细枝末节。	Hard 26 28 专顺
今年的诺贝尔奖的获得者有：德国的伦琴（物理学奖），他发现了X射线；荷兰的范托夫（化学奖），他发现了化学动力学定律和渗透压定律；德国的贝林（生理学或医学奖），他在血清法的研究方面卓有成就；法国的普吕多姆（文学奖），他在诗歌创作方面颇有建树。	Complex 88 92 卓有成就
她没再往下说，因为父亲指着女婿对她使了个眼色。	Complex 20 22 眼色
四百多年里，它剥蚀了古殿檐头浮夸的琉璃，淡褪了门壁上炫耀的朱红，坍圮了一段段高墙又散落了玉砌雕栏，祭坛四周的老柏树愈见苍幽，到处的野草荒藤也都茂盛得自在坦荡。	Hard 32 34 坍圮
丹顶鹤不论是在地上引吭高歌，还是在天上展翅飞翔，都显得那么高雅。	Complex 0 3 丹顶鹤
只有那树还绿，那树被一重又一重死鱼般的灰白色包围，连根须都被压路机碾进灰色之下，但树顶仍在雨后滴翠，经过速成的建筑物衬托，绿得很年轻。	Complex 26 28 根须
积成峁，堆成墚，又堆积成一大片一大片的塬。	Hard 2 3 峁
他把每件事和每个人都考虑到了，面对惊慌失措的众人，他镇定自若，仿佛他不是给人而是在给灾难下达命令，就连失事的船舶似乎也听从他的调遣。	Complex 51 53 失事
1999年11月20日6时30分，“神舟”一号实验飞船从酒泉卫星发射中心新建成的载人航天发射场飞向太空并于第二天准确着陆。	Complex 40 44 载人航天
又湖南湘西地区部分挑花绣，地材有用桃红色羽纱和水绿色羽纱的，从材料流行时代分析，可知必是六七十年间作品，虽在苗区发现，实是汉人制作。	Complex 26 28 羽纱
茶罢，孔明曰：“昨观书意，足见将军忧民忧国之心；但恨亮年幼才疏，有误下问。”	Hard 27 31 年幼才疏
就在这时，却有两个黑影向它逼近，那是凶恶的加拿大鹞鹰——鸽的天敌。	Complex 24 26 鹞鹰
明屠本畯有一首诗，叙述煎荔枝的方法，说“旋沉荔花蜂酿蜜，清香不减蔗浆寒”，大概是关于荔枝蜜最早的记载。	Hard 28 35 清香不减蔗浆寒
两岸连山，略无阙处。	Hard 0 4 两岸连山
我观察过一次日出，日出比日落缓慢。	Complex 1 3 观察
是围炉的日子，迎新送旧的日子。	Complex 1 3 围炉
母亲生前没给我留下过什么隽永的哲言，或要我恪守的教诲，只是在她去世之后，她艰难的命运，坚忍的意志和毫不张扬的爱，随光阴流转，在我的印象中愈加鲜明深刻。	Hard 12 14 隽永
他的外孙女跟我讲，这些高大挺拔、在初秋的风中微微摇动的树木是托尔斯泰亲手栽种的。	Complex 11 15 高大挺拔
他扬鞭一挥，车便辚辚向前。	Hard 8 12 辚辚向前
天保恰好在那天应向上行，随了陆路商人过川东龙潭送节货，故参加的就只傩送。	Complex 24 26 节货
茶罢，孔明曰：“昨观书意，足见将军忧民忧国之心；但恨亮年幼才疏，有误下问。”	Hard 17 21 忧民忧国
我替人家当牛作马，整整干了一个星期的苦差使，才挣来这枚金币！	Complex 18 21 苦差使
我听得斋公们说：打了天上的星宿，阎王就要拿去打一百铁棍，发在十八层地狱，永不得翻身。	Complex 16 18 阎王
